series,phi,N,rep,loglik_pf,phi_true,nu,c
Serie_1,0.6454556962025316,50,20,-7228.724768882059,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,21,-7111.340314026401,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,22,-7219.2227476688495,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,23,-7067.32496821547,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,24,-7302.016363916069,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,25,-7224.6334430124325,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,26,-7233.093906841432,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,27,-7169.431375391535,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,28,-7358.8911555160985,0.965,2.5,0.2
Serie_1,0.6454556962025316,50,29,-7018.174758531299,0.965,2.5,0.2
Serie_1,0.650506329113924,50,0,-6926.161733714443,0.965,2.5,0.2
Serie_1,0.650506329113924,50,1,-7097.24200343466,0.965,2.5,0.2
Serie_1,0.650506329113924,50,2,-7077.080886076578,0.965,2.5,0.2
Serie_1,0.650506329113924,50,3,-6942.84984508837,0.965,2.5,0.2
Serie_1,0.650506329113924,50,4,-7158.969176770416,0.965,2.5,0.2
Serie_1,0.650506329113924,50,5,-7055.975650303415,0.965,2.5,0.2
Serie_1,0.650506329113924,50,6,-6974.360757882315,0.965,2.5,0.2
Serie_1,0.650506329113924,50,7,-7014.475913781983,0.965,2.5,0.2
Serie_1,0.650506329113924,50,8,-6952.128205414007,0.965,2.5,0.2
Serie_1,0.650506329113924,50,9,-6911.189753888052,0.965,2.5,0.2
Serie_1,0.650506329113924,50,10,-6922.889382505146,0.965,2.5,0.2
Serie_1,0.650506329113924,50,11,-6976.977504102074,0.965,2.5,0.2
Serie_1,0.650506329113924,50,12,-7167.087289020386,0.965,2.5,0.2
Serie_1,0.650506329113924,50,13,-7166.763050948479,0.965,2.5,0.2
Serie_1,0.650506329113924,50,14,-7083.7872245788,0.965,2.5,0.2
Serie_1,0.650506329113924,50,15,-6975.257246304181,0.965,2.5,0.2
Serie_1,0.650506329113924,50,16,-6862.6803111910685,0.965,2.5,0.2
Serie_1,0.650506329113924,50,17,-7058.651348412545,0.965,2.5,0.2
Serie_1,0.650506329113924,50,18,-7081.622088199298,0.965,2.5,0.2
Serie_1,0.650506329113924,50,19,-7001.709663843306,0.965,2.5,0.2
Serie_1,0.650506329113924,50,20,-6967.643173482404,0.965,2.5,0.2
Serie_1,0.650506329113924,50,21,-6948.164605773886,0.965,2.5,0.2
Serie_1,0.650506329113924,50,22,-6944.719718809987,0.965,2.5,0.2
Serie_1,0.650506329113924,50,23,-6812.854029635459,0.965,2.5,0.2
Serie_1,0.650506329113924,50,24,-6980.443765187393,0.965,2.5,0.2
Serie_1,0.650506329113924,50,25,-6863.264841136895,0.965,2.5,0.2
Serie_1,0.650506329113924,50,26,-7131.360800169074,0.965,2.5,0.2
Serie_1,0.650506329113924,50,27,-6992.650309920576,0.965,2.5,0.2
Serie_1,0.650506329113924,50,28,-7024.1970130175805,0.965,2.5,0.2
Serie_1,0.650506329113924,50,29,-7191.479007108394,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,0,-6913.712996722825,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,1,-7008.919820736585,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,2,-6968.196490535062,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,3,-6927.334307630533,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,4,-6916.629630665316,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,5,-6851.2392378499935,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,6,-6867.034878106577,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,7,-6736.416240799372,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,8,-7003.420370635033,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,9,-6820.851926064736,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,10,-6903.719770578223,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,11,-6823.512255733824,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,12,-6968.945206370573,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,13,-6858.425268682958,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,14,-7104.837440333465,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,15,-6842.998426274171,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,16,-7010.230572606763,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,17,-6872.9202106785915,0.965,2.5,0.2
Serie_1,0.6555569620253164,50,18,-6875.534262829585,0.965,2.5,0.2
